pname,purl
boost-intrusive,pkg:generic/boost-intrusive@1.87.0
xcb-util,pkg:generic/xcb-util@0.4.0
kf5textwidgets,pkg:generic/kf5textwidgets@5.98.0
opentelemetry-cpp,pkg:generic/opentelemetry-cpp
restbed,pkg:generic/restbed@4.8
think-cell-range,pkg:generic/think-cell-range@2023.1
libzim,pkg:generic/libzim@9.0.0
lest,pkg:generic/lest@1.35.2
crossguid,pkg:generic/crossguid
jhasse-poly2tri,pkg:generic/jhasse-poly2tri
coolprop,pkg:generic/coolprop
hareflow,pkg:generic/hareflow
osmanip,pkg:generic/osmanip@4.6.1
libprotobuf-mutator,pkg:generic/libprotobuf-mutator@1.3
kf5codecs,pkg:generic/kf5codecs@5.98.0
snitch,pkg:generic/snitch@1.2.5
irrxml,pkg:generic/irrxml@0
mapbox-geometry,pkg:generic/mapbox-geometry
xcb-util-errors,pkg:generic/xcb-util-errors@1.0.1
serd,pkg:generic/serd@0.32.4
shiftmedia-libgcrypt,pkg:generic/shiftmedia-libgcrypt@1.10.3-1
sdl3-ttf,pkg:generic/sdl3-ttf@3.1.0
lodepng-c,pkg:generic/lodepng-c
htscodecs,pkg:generic/htscodecs@1.6.1
coin-or-cbc,pkg:generic/coin-or-cbc
boost-parser,pkg:generic/boost-parser@1.87.0
utf8proc,pkg:generic/utf8proc@2.10.0
at-spi2-atk,pkg:generic/at-spi2-atk@2.38.0
boost-cmake,pkg:generic/boost-cmake@1.87.0
rendergraph,pkg:generic/rendergraph@1.4.1
vcpkg-boost,pkg:generic/vcpkg-boost
vulkan-tools,pkg:generic/vulkan-tools@1.4.304.1
lcms,pkg:generic/lcms@2.16
nanoflann,pkg:generic/nanoflann@1.7.1
kangaru,pkg:generic/kangaru@4.3.2
libfido2,pkg:generic/libfido2@1.15.0
tcl,pkg:generic/tcl
dpp,pkg:generic/dpp@10.1.0
via-httplib,pkg:generic/via-httplib@1.9.0
qtkeychain,pkg:generic/qtkeychain@0.14.3
quirc,pkg:generic/quirc@1.2
suitesparse-rbio,pkg:generic/suitesparse-rbio
cpp-httplib,pkg:generic/cpp-httplib@0.19.0
aws-c-mqtt,pkg:generic/aws-c-mqtt@0.11.0
alembic,pkg:generic/alembic@1.8.8
kf5configwidgets,pkg:generic/kf5configwidgets@5.98.0
liquid-dsp,pkg:generic/liquid-dsp@1.7.0
xxhash,pkg:generic/xxhash@0.8.2
audiofile,pkg:generic/audiofile@1.1.2
qt5-translations,pkg:generic/qt5-translations@5.15.16
botan,pkg:generic/botan@3.7.1
libsecret,pkg:generic/libsecret@0.21.4
azure-uamqp-c,pkg:generic/azure-uamqp-c
boost-type-index,pkg:generic/boost-type-index@1.87.0
octave,pkg:generic/octave@9.4.0
wolftpm,pkg:generic/wolftpm@3.4.0
librttopo,pkg:generic/librttopo@1.1.0
libtracepoint-control,pkg:generic/libtracepoint-control@1.4.0
sassc,pkg:generic/sassc@3.6.2
libimobiledevice-glue,pkg:generic/libimobiledevice-glue
simsimd,pkg:generic/simsimd@6.0.0
dcmtk,pkg:generic/dcmtk@3.6.9
easycl,pkg:generic/easycl@0.3
range-v3-vs2015,pkg:generic/range-v3-vs2015@20151130-vcpkg5
libxslt,pkg:generic/libxslt@1.1.42
boost-dynamic-bitset,pkg:generic/boost-dynamic-bitset@1.87.0
ccd,pkg:generic/ccd@2.1
boost,pkg:generic/boost@1.87.0
dbow2,pkg:generic/dbow2
boost-timer,pkg:generic/boost-timer@1.87.0
cminpack,pkg:generic/cminpack@1.3.8
aom,pkg:generic/aom
restclient-cpp,pkg:generic/restclient-cpp
libmikmod,pkg:generic/libmikmod@3.3.11.1
xerces-c,pkg:generic/xerces-c
libxres,pkg:generic/libxres@1.2.1
http-parser,pkg:generic/http-parser@2.9.4
boost-yap,pkg:generic/boost-yap@1.87.0
color-console,pkg:generic/color-console
libmypaint,pkg:generic/libmypaint@1.6.1
meekrosoft-fff,pkg:generic/meekrosoft-fff@1.1
replxx,pkg:generic/replxx@0.0.4
tlx,pkg:generic/tlx@0.6.1
tl-function-ref,pkg:generic/tl-function-ref@1.0.0
log4cplus,pkg:generic/log4cplus@2.1.1
murmurhash,pkg:generic/murmurhash
nvidia-cutlass,pkg:generic/nvidia-cutlass@3.3.0
oscpack,pkg:generic/oscpack@1.1.0
advobfuscator,pkg:generic/advobfuscator
boost-test,pkg:generic/boost-test@1.87.0
ccfits,pkg:generic/ccfits@2.5
pmp-library,pkg:generic/pmp-library@3.0.0
libzip,pkg:generic/libzip@1.11.3
minifb,pkg:generic/minifb
qtwebengine,pkg:generic/qtwebengine@6.8.2
ztd-cuneicode,pkg:generic/ztd-cuneicode
wmipp,pkg:generic/wmipp@1.3.0
llhttp,pkg:generic/llhttp@9.2.1
boost-chrono,pkg:generic/boost-chrono@1.87.0
brigand,pkg:generic/brigand@1.3.0
ppconsul,pkg:generic/ppconsul@0.5
libp7-baical,pkg:generic/libp7-baical
oboe,pkg:generic/oboe@1.8.0
gtsam,pkg:generic/gtsam@4.2.0
sdl2-mixer-ext,pkg:generic/sdl2-mixer-ext@2.6.0
libvmdk,pkg:generic/libvmdk@20221124
openexr,pkg:generic/openexr@3.3.2
easyhook,pkg:generic/easyhook@2.7.7097.0
aws-c-cal,pkg:generic/aws-c-cal@0.8.1
ogre,pkg:generic/ogre@14.3.2
libbf,pkg:generic/libbf@1.0.0
pdal,pkg:generic/pdal@2.8.4
qtwebsockets,pkg:generic/qtwebsockets@6.8.2
liblsl,pkg:generic/liblsl@1.16.2
wolfssl,pkg:generic/wolfssl@5.7.6
pipewire,pkg:generic/pipewire@1.2.7
jasper,pkg:generic/jasper@4.2.4
cppkafka,pkg:generic/cppkafka@0.4.0
earcut-hpp,pkg:generic/earcut-hpp@2.2.4
datraw,pkg:generic/datraw@1.0.9
mtlt,pkg:generic/mtlt@1.0.0
simde,pkg:generic/simde@0.8.2
allegro5,pkg:generic/allegro5@5.2.10.0
boost-assert,pkg:generic/boost-assert@1.87.0
influxdb-cxx,pkg:generic/influxdb-cxx@0.7.4
dbow3,pkg:generic/dbow3@1.0.0
happly,pkg:generic/happly
boost-io,pkg:generic/boost-io@1.87.0
pravila00-enum-string,pkg:generic/pravila00-enum-string
discount,pkg:generic/discount
qt5-webengine,pkg:generic/qt5-webengine@5.15.16
z4kn4fein-semver,pkg:generic/z4kn4fein-semver@0.4.0
sdl1-mixer,pkg:generic/sdl1-mixer
geogram,pkg:generic/geogram@1.9.3
better-enums,pkg:generic/better-enums@0.11.3
tensorflow-cc,pkg:generic/tensorflow-cc
rubberband,pkg:generic/rubberband@4.0.0
hexl,pkg:generic/hexl@1.2.5
libideviceactivation,pkg:generic/libideviceactivation
wayland-protocols,pkg:generic/wayland-protocols@1.31
kf5windowsystem,pkg:generic/kf5windowsystem@5.98.0
xqilla,pkg:generic/xqilla@2.3.4
librdkafka,pkg:generic/librdkafka@2.6.0
getopt,pkg:generic/getopt@0
libcgroup,pkg:generic/libcgroup@3.1.0
avcpp,pkg:generic/avcpp@2.6.0
minimp3,pkg:generic/minimp3
libev,pkg:generic/libev@4.33
modp-base64,pkg:generic/modp-base64
re2,pkg:generic/re2
zeromq,pkg:generic/zeromq@4.3.5
loguru,pkg:generic/loguru@2.1.0
vowpal-wabbit,pkg:generic/vowpal-wabbit@9.10.0
nspr,pkg:generic/nspr@4.35
argparse,pkg:generic/argparse@3.2
libxcrypt,pkg:generic/libxcrypt@4.4.36
lunarg-vulkantools,pkg:generic/lunarg-vulkantools@1.4.304.1
dbus,pkg:generic/dbus@1.16.2
openmvs,pkg:generic/openmvs@2.1.0
libfuse,pkg:generic/libfuse@3.16.2
glib-networking,pkg:generic/glib-networking@2.78.0
wtl,pkg:generic/wtl@10.0.10320
arg-router,pkg:generic/arg-router@1.4.0
picosha2,pkg:generic/picosha2
tree-sitter,pkg:generic/tree-sitter
boost-multiprecision,pkg:generic/boost-multiprecision@1.87.0
utfcpp,pkg:generic/utfcpp@4.0.6
qoixx,pkg:generic/qoixx@0.1.7
uthash,pkg:generic/uthash
qscintilla,pkg:generic/qscintilla@2.14.1
ecos,pkg:generic/ecos@2.0.10
boost-headers,pkg:generic/boost-headers@1.87.0
readosm,pkg:generic/readosm
oof,pkg:generic/oof
libmagic,pkg:generic/libmagic@5.46
qtactiveqt,pkg:generic/qtactiveqt@6.8.2
rapidcheck,pkg:generic/rapidcheck
kf5plotting,pkg:generic/kf5plotting@5.98.0
michaelmiller-sec21,pkg:generic/michaelmiller-sec21@1.0.1
libhdfs3,pkg:generic/libhdfs3
dimcli,pkg:generic/dimcli
ms-gsl,pkg:generic/ms-gsl@4.2.0
matplotplusplus,pkg:generic/matplotplusplus@1.2.1
libics,pkg:generic/libics@1.6.8
openslide,pkg:generic/openslide@3.4.1
refprop-headers,pkg:generic/refprop-headers
byte-lite,pkg:generic/byte-lite@0.3.0
glui,pkg:generic/glui
tiny-process-library,pkg:generic/tiny-process-library@2.0.4
libraqm,pkg:generic/libraqm@0.10.2
aixlog,pkg:generic/aixlog@1.5.0
directxsdk,pkg:generic/directxsdk
alpaca,pkg:generic/alpaca@0.2.1
hash-library,pkg:generic/hash-library@8
openfx,pkg:generic/openfx@1.4
pngpp,pkg:generic/pngpp@0.2.10
fuzzylite,pkg:generic/fuzzylite@6.0
boost-compatibility,pkg:generic/boost-compatibility@1.86.0
croncpp,pkg:generic/croncpp
pulsar-client-cpp,pkg:generic/pulsar-client-cpp@3.7.0
oatpp-zlib,pkg:generic/oatpp-zlib@1.3.0
kf5solid,pkg:generic/kf5solid@5.98.0
libflac,pkg:generic/libflac@1.4.3
vulkan-headers,pkg:generic/vulkan-headers@1.4.304.1
gz-rendering,pkg:generic/gz-rendering@9.0.0
qt5-androidextras,pkg:generic/qt5-androidextras@5.15.16
magnum-integration,pkg:generic/magnum-integration
taglib,pkg:generic/taglib@2.0.2
libxinerama,pkg:generic/libxinerama@1.1.4
apr-util,pkg:generic/apr-util@1.6.3
libkeyfinder,pkg:generic/libkeyfinder@2.2.8
keystone,pkg:generic/keystone
bddisasm,pkg:generic/bddisasm@2.2.0
qt5-imageformats,pkg:generic/qt5-imageformats@5.15.16
boost-regex,pkg:generic/boost-regex@1.87.0
orange-math,pkg:generic/orange-math@1.0.1
gz-physics,pkg:generic/gz-physics@8.0.0
p-ranav-glob,pkg:generic/p-ranav-glob@0.0.1
salome-configuration,pkg:generic/salome-configuration@9.10.0
compoundfilereader,pkg:generic/compoundfilereader@0.1.0
luasocket,pkg:generic/luasocket@3.1.0
kf5newstuff,pkg:generic/kf5newstuff@5.98.0
boost-interprocess,pkg:generic/boost-interprocess@1.87.0
openssl,pkg:generic/openssl@3.4.1
gz-msgs,pkg:generic/gz-msgs@11.0.2
tree-similarity,pkg:generic/tree-similarity
stlab,pkg:generic/stlab@1.7.1
libpff,pkg:generic/libpff
tiny-regex-c,pkg:generic/tiny-regex-c
ptex,pkg:generic/ptex@2.4.3
google-cloud-cpp-common,pkg:generic/google-cloud-cpp-common
cpputest,pkg:generic/cpputest@4.0
vs-yasm,pkg:generic/vs-yasm@0.5.0
boost-bind,pkg:generic/boost-bind@1.87.0
json-spirit,pkg:generic/json-spirit@4.1.0
lockpp,pkg:generic/lockpp@3.0
libxrandr,pkg:generic/libxrandr@1.5.2
cwalk,pkg:generic/cwalk@1.2.9
devicenameresolver,pkg:generic/devicenameresolver
cli,pkg:generic/cli@2.2.0
lazy-importer,pkg:generic/lazy-importer
libde265,pkg:generic/libde265@1.0.15
joltphysics,pkg:generic/joltphysics@5.3.0
libjpeg-turbo,pkg:generic/libjpeg-turbo@3.1.0
poppler,pkg:generic/poppler@24.3.0
kf5itemmodels,pkg:generic/kf5itemmodels@5.98.0
tvision,pkg:generic/tvision
libdisasm,pkg:generic/libdisasm@0.23
smpeg2,pkg:generic/smpeg2@2.0.0
librsvg,pkg:generic/librsvg@2.40.21
hypodermic,pkg:generic/hypodermic
kealib,pkg:generic/kealib@1.6.1
sqlpp11,pkg:generic/sqlpp11@0.64
harfbuzz,pkg:generic/harfbuzz@10.2.0
libmodbus,pkg:generic/libmodbus@3.1.10
cityhash,pkg:generic/cityhash
kinectsdk1,pkg:generic/kinectsdk1@1.8
libxrender,pkg:generic/libxrender@0.9.10
font-util,pkg:generic/font-util@1.4.1
json11,pkg:generic/json11
asiochan,pkg:generic/asiochan
irrlicht,pkg:generic/irrlicht@1.8.5
kf5itemviews,pkg:generic/kf5itemviews@5.98.0
parsi,pkg:generic/parsi@0.1.0
vlpp,pkg:generic/vlpp@1.2.10.2
mbedtls,pkg:generic/mbedtls@3.6.2
yalantinglibs,pkg:generic/yalantinglibs@0.4.0
intel-mkl,pkg:generic/intel-mkl@2023.0.0
vcpkg-tool-ninja,pkg:generic/vcpkg-tool-ninja
copypp,pkg:generic/copypp@0.3.0
gz-math,pkg:generic/gz-math@8.1.0
libsmacker,pkg:generic/libsmacker@1.2.0
qtserialport,pkg:generic/qtserialport@6.8.2
libxpresent,pkg:generic/libxpresent@1.0.0
libosmscout,pkg:generic/libosmscout@1.1.1
libmpeg2,pkg:generic/libmpeg2@0.5.1
b64,pkg:generic/b64@2.0.0.1
units,pkg:generic/units@2.3.3
polyclipping,pkg:generic/polyclipping@6.4.2
libmupdf,pkg:generic/libmupdf@1.25.4
snap7,pkg:generic/snap7@1.4.2
asock,pkg:generic/asock@1.0.7
libepoxy,pkg:generic/libepoxy@1.5.10
libvpx,pkg:generic/libvpx@1.13.1
qt5-x11extras,pkg:generic/qt5-x11extras@5.15.16
triangle,pkg:generic/triangle@1.6
velodyne-decoder,pkg:generic/velodyne-decoder@3.0.0
dartsim,pkg:generic/dartsim@6.15.0
cxxgraph,pkg:generic/cxxgraph@4.1.0
openvdb,pkg:generic/openvdb@12.0.0
libevhtp,pkg:generic/libevhtp@1.2.18
trantor,pkg:generic/trantor
esaxx,pkg:generic/esaxx
gz-fuel-tools,pkg:generic/gz-fuel-tools@10.0.0
pistache,pkg:generic/pistache
c-ares,pkg:generic/c-ares
ada-url,pkg:generic/ada-url@3.2.1
fluidsynth,pkg:generic/fluidsynth@2.4.4
boost-ptr-container,pkg:generic/boost-ptr-container@1.87.0
boost-parameter-python,pkg:generic/boost-parameter-python@1.87.0
abseil,pkg:generic/abseil@20250127.0
qt5-scxml,pkg:generic/qt5-scxml@5.15.16
forge,pkg:generic/forge
cachelib,pkg:generic/cachelib
parallel-hashmap,pkg:generic/parallel-hashmap@2.0.0
qtlocation,pkg:generic/qtlocation@6.8.2
projectm-eval,pkg:generic/projectm-eval@1.0.0
aws-c-sdkutils,pkg:generic/aws-c-sdkutils@0.2.1
msdfgen,pkg:generic/msdfgen@1.12
rxqt,pkg:generic/rxqt
draco,pkg:generic/draco@1.5.7
glib,pkg:generic/glib@2.80.0
libmysql,pkg:generic/libmysql@8.0.40
colmap,pkg:generic/colmap@3.11.1
linalg,pkg:generic/linalg@2.2
json-dto,pkg:generic/json-dto@0.3.4
attr,pkg:generic/attr
cyclonedds,pkg:generic/cyclonedds
oatpp-libressl,pkg:generic/oatpp-libressl@1.3.0
azure-storage-cpp,pkg:generic/azure-storage-cpp@7.5.0
unqlite,pkg:generic/unqlite@1.1.9
entityx,pkg:generic/entityx@1.3.0
robin-hood-hashing,pkg:generic/robin-hood-hashing@3.11.5
tobias-loew-flags,pkg:generic/tobias-loew-flags
aurora,pkg:generic/aurora@2017-06-21-c75699d2a8caa726260c29b6d7a0fd35f8f28933
optional-bare,pkg:generic/optional-bare@1.1.0
kf5syntaxhighlighting,pkg:generic/kf5syntaxhighlighting@5.98.0
osgearth,pkg:generic/osgearth@3.7
spirv-tools,pkg:generic/spirv-tools@1.4.304.1
luv,pkg:generic/luv
vcpkg-tool-gn,pkg:generic/vcpkg-tool-gn
launch-darkly-server,pkg:generic/launch-darkly-server@2.9.3
mysql-connector-cpp,pkg:generic/mysql-connector-cpp@9.1.0
egl,pkg:generic/egl
libxfont,pkg:generic/libxfont@2.0.5
tl-generator,pkg:generic/tl-generator
observer-ptr-lite,pkg:generic/observer-ptr-lite@0.4.0
usockets,pkg:generic/usockets@0.8.8
libgwenhywfar,pkg:generic/libgwenhywfar
pe-parse,pkg:generic/pe-parse@2.1.1
boost-url,pkg:generic/boost-url@1.87.0
cli11,pkg:generic/cli11@2.5.0
canvas-ity,pkg:generic/canvas-ity@1.0
elfio,pkg:generic/elfio@3.12
manif,pkg:generic/manif@0.0.5
iniparser,pkg:generic/iniparser
uriparser,pkg:generic/uriparser@0.9.8
libcpplocate,pkg:generic/libcpplocate
debug-assert,pkg:generic/debug-assert@1.3.4
glaze,pkg:generic/glaze@5.0.0
xeus,pkg:generic/xeus@0.24.3
kf5holidays,pkg:generic/kf5holidays@5.98.0
boost-tuple,pkg:generic/boost-tuple@1.87.0
nuspell,pkg:generic/nuspell
osg-qt,pkg:generic/osg-qt
tinyply,pkg:generic/tinyply@2.3.4
gul14,pkg:generic/gul14@2.11.2
llgl,pkg:generic/llgl
value-ptr-lite,pkg:generic/value-ptr-lite
boost-thread,pkg:generic/boost-thread@1.87.0
azure-iot-sdk-c,pkg:generic/azure-iot-sdk-c
backward-cpp,pkg:generic/backward-cpp
gklib,pkg:generic/gklib
duktape,pkg:generic/duktape@2.7.0
cpp-peglib,pkg:generic/cpp-peglib@1.9.1
otl,pkg:generic/otl@4.0.481
lzokay,pkg:generic/lzokay
argagg,pkg:generic/argagg@0.4.7
boost-property-tree,pkg:generic/boost-property-tree@1.87.0
robotraconteur,pkg:generic/robotraconteur
fmt,pkg:generic/fmt@11.0.2
boost-poly-collection,pkg:generic/boost-poly-collection@1.87.0
wildmidi,pkg:generic/wildmidi@0.4.6
rabit,pkg:generic/rabit@0.1
simpleble,pkg:generic/simpleble
kdbindings,pkg:generic/kdbindings@1.1.0
comms,pkg:generic/comms@5.2.7
expat,pkg:generic/expat@2.6.4
ms-ifc-sdk,pkg:generic/ms-ifc-sdk@0.43.1
ragel,pkg:generic/ragel@6.10
proj,pkg:generic/proj@9.6.0
directx-headers,pkg:generic/directx-headers@1.615.0
libdivide,pkg:generic/libdivide@5.2.0
fribidi,pkg:generic/fribidi@1.0.16
librtmp,pkg:generic/librtmp
crashpad,pkg:generic/crashpad
mikktspace,pkg:generic/mikktspace
grpc,pkg:generic/grpc
libslirp,pkg:generic/libslirp
bitsery,pkg:generic/bitsery@5.2.4
vmaware-vm-detection,pkg:generic/vmaware-vm-detection@2.0
luasec,pkg:generic/luasec@1.3.2
libnop,pkg:generic/libnop
wcslib,pkg:generic/wcslib@8.4
mp-units,pkg:generic/mp-units@2.4.0
c89stringutils,pkg:generic/c89stringutils@0.0.2
librsync,pkg:generic/librsync
openimageio,pkg:generic/openimageio@3.0.1.0
boost-cobalt,pkg:generic/boost-cobalt@1.87.0
json-rpc-cxx,pkg:generic/json-rpc-cxx@0.3.2
boost-pfr,pkg:generic/boost-pfr@1.87.0
kf5jobwidgets,pkg:generic/kf5jobwidgets@5.98.0
opencv,pkg:generic/opencv@4.10.0
sdformat,pkg:generic/sdformat@15.1.1
libunibreak,pkg:generic/libunibreak@6.1
qtquickcontrols2,pkg:generic/qtquickcontrols2
cglm,pkg:generic/cglm
fixed-string,pkg:generic/fixed-string@0.1.1
libgig,pkg:generic/libgig@4.4.1
openldap,pkg:generic/openldap@2.5.18
qtquickeffectmaker,pkg:generic/qtquickeffectmaker@6.8.2
boost-lambda2,pkg:generic/boost-lambda2@1.87.0
gz-plugin,pkg:generic/gz-plugin@3.0.0
boost-ublas,pkg:generic/boost-ublas@1.87.0
xaudio2redist,pkg:generic/xaudio2redist@1.2.11
gdcm,pkg:generic/gdcm@3.0.24
mpfr,pkg:generic/mpfr@4.2.1
kf5archive,pkg:generic/kf5archive@5.98.0
parson,pkg:generic/parson
boost-heap,pkg:generic/boost-heap@1.87.0
libvmaf,pkg:generic/libvmaf@3.0.0
libaiff,pkg:generic/libaiff@5.0
yyjson,pkg:generic/yyjson@0.10.0
gtkmm,pkg:generic/gtkmm@4.14.0
boost-local-function,pkg:generic/boost-local-function@1.87.0
rsm-mmio,pkg:generic/rsm-mmio
openmvg,pkg:generic/openmvg@2.1
llama-cpp,pkg:generic/llama-cpp@4743
ryml,pkg:generic/ryml@0.8.0
qtbase,pkg:generic/qtbase@6.8.2
delaunator-cpp,pkg:generic/delaunator-cpp@1.0.0
qtgrpc,pkg:generic/qtgrpc@6.8.2
yasm-tool,pkg:generic/yasm-tool
uwebsockets,pkg:generic/uwebsockets
msmpi,pkg:generic/msmpi@10.1.12498
mimicpp,pkg:generic/mimicpp@6
winsparkle,pkg:generic/winsparkle@0.8.3
xtensor-fftw,pkg:generic/xtensor-fftw
gpgme,pkg:generic/gpgme@1.23.2
kf5xmlgui,pkg:generic/kf5xmlgui@5.98.0
oniguruma,pkg:generic/oniguruma@6.9.10
binn,pkg:generic/binn@3.0
llfio,pkg:generic/llfio
io2d,pkg:generic/io2d
hlslpp,pkg:generic/hlslpp@3.6
verdict,pkg:generic/verdict@1.4.0
freetype,pkg:generic/freetype@2.13.3
libcoro,pkg:generic/libcoro@0.14.1
munit,pkg:generic/munit
libmidi2,pkg:generic/libmidi2@0.13
xcb-util-m4,pkg:generic/xcb-util-m4
libsass,pkg:generic/libsass@3.6.6
mailio,pkg:generic/mailio@0.24.0
hungarian,pkg:generic/hungarian@0.1.3
azure-kinect-sensor-sdk,pkg:generic/azure-kinect-sensor-sdk@1.4.1
boost-interval,pkg:generic/boost-interval@1.87.0
s2n,pkg:generic/s2n@1.5.9
level-zero,pkg:generic/level-zero@1.20.2
kf5coreaddons,pkg:generic/kf5coreaddons@5.98.0
ompl,pkg:generic/ompl@1.6.0
boost-serialization,pkg:generic/boost-serialization@1.87.0
so5extra,pkg:generic/so5extra@1.6.2
rapidhash,pkg:generic/rapidhash@1.0
shader-slang,pkg:generic/shader-slang@2025.5
ptyqt,pkg:generic/ptyqt@0.7.1
half,pkg:generic/half@2.2.0
zycore,pkg:generic/zycore@1.5.1
libtorch,pkg:generic/libtorch@2.1.2
qt5-mqtt,pkg:generic/qt5-mqtt@5.15.16
stx,pkg:generic/stx@1.0.5
zint,pkg:generic/zint@2.12.0
random123,pkg:generic/random123@1.14.0
libqglviewer,pkg:generic/libqglviewer@2.9.1
monkeys-audio,pkg:generic/monkeys-audio
spirv-cross,pkg:generic/spirv-cross@1.4.304.1
boost-pool,pkg:generic/boost-pool@1.87.0
qt5-charts,pkg:generic/qt5-charts@5.15.16
polyhook2,pkg:generic/polyhook2
ceres,pkg:generic/ceres@2.2.0
pixman,pkg:generic/pixman@0.44.2
buck-yeh-bux-sqlite,pkg:generic/buck-yeh-bux-sqlite@1.0.5
qt5-activeqt,pkg:generic/qt5-activeqt@5.15.16
libxmp,pkg:generic/libxmp@4.6.0
onnxruntime-gpu,pkg:generic/onnxruntime-gpu@1.19.2
azure-core-amqp-cpp,pkg:generic/azure-core-amqp-cpp
qtwebchannel,pkg:generic/qtwebchannel@6.8.2
qtapplicationmanager,pkg:generic/qtapplicationmanager@6.8.2
sophus,pkg:generic/sophus@1.24.6-r1
libtins,pkg:generic/libtins@4.5
mpg123,pkg:generic/mpg123@1.32.9
mapbox-variant,pkg:generic/mapbox-variant@1.2.0
jxrlib,pkg:generic/jxrlib@2019.10.9
vcpkg-tool-castxml,pkg:generic/vcpkg-tool-castxml@0.6.5
seal,pkg:generic/seal@4.1.2
buck-yeh-bux,pkg:generic/buck-yeh-bux@1.11.1
wyhash,pkg:generic/wyhash
mmloader,pkg:generic/mmloader@1.0.1
flatcc,pkg:generic/flatcc@0.6.1
gz-common,pkg:generic/gz-common@6.0.2
liblsquic,pkg:generic/liblsquic@3.3.2
qt5-datavis3d,pkg:generic/qt5-datavis3d@5.15.16
boost-typeof,pkg:generic/boost-typeof@1.87.0
libuuid,pkg:generic/libuuid@1.0.3
assimp,pkg:generic/assimp@5.4.3
libtess2,pkg:generic/libtess2
sdl1,pkg:generic/sdl1@1.2.15
qt5-quickcontrols,pkg:generic/qt5-quickcontrols@5.15.16
mypaint-brushes,pkg:generic/mypaint-brushes@1.3.1
libiconv,pkg:generic/libiconv@1.18
behaviortree-cpp,pkg:generic/behaviortree-cpp@4.6.2
zfp,pkg:generic/zfp@1.0.1
highfive,pkg:generic/highfive@2.10.1
exiv2,pkg:generic/exiv2@0.28.5
vcpkg-tool-python2,pkg:generic/vcpkg-tool-python2@2.7.18
cpp-timsort,pkg:generic/cpp-timsort@3.0.1
comms-ublox,pkg:generic/comms-ublox
urdfdom,pkg:generic/urdfdom@3.1.1
suitesparse-paru,pkg:generic/suitesparse-paru
libigl,pkg:generic/libigl@2.5.0
kf5package,pkg:generic/kf5package@5.98.0
type-lite,pkg:generic/type-lite@0.2.0
open62541,pkg:generic/open62541@1.3.15
if97,pkg:generic/if97@2.1.3
suitesparse-cholmod,pkg:generic/suitesparse-cholmod
azure-uhttp-c,pkg:generic/azure-uhttp-c
libmysofa,pkg:generic/libmysofa@1.3.2
boost-variant,pkg:generic/boost-variant@1.87.0
lzo,pkg:generic/lzo@2.10
mio,pkg:generic/mio
drogon,pkg:generic/drogon
bzip2,pkg:generic/bzip2
at-spi2-core,pkg:generic/at-spi2-core@2.44.1
cld3,pkg:generic/cld3@3.0.14
telnetpp,pkg:generic/telnetpp@3.1.0
cute-headers,pkg:generic/cute-headers
libudns,pkg:generic/libudns@0.4
cpp-kana,pkg:generic/cpp-kana@1.0.0
neargye-semver,pkg:generic/neargye-semver@0.3.1
jbig2dec,pkg:generic/jbig2dec@0.20
boost-graph,pkg:generic/boost-graph@1.87.0
games101-cgl,pkg:generic/games101-cgl@0.1.0
libgcrypt,pkg:generic/libgcrypt@1.11.0
boost-detail,pkg:generic/boost-detail@1.87.0
tinyexr,pkg:generic/tinyexr@1.0.9
sdl2-mixer,pkg:generic/sdl2-mixer@2.8.1
imgui-node-editor,pkg:generic/imgui-node-editor@0.9.3
gasol,pkg:generic/gasol
pixel,pkg:generic/pixel
qtkeychain-qt6,pkg:generic/qtkeychain-qt6@0.14.3
leveldb,pkg:generic/leveldb@1.23
libpqxx,pkg:generic/libpqxx@7.10.0
libcorrect,pkg:generic/libcorrect
isal,pkg:generic/isal@2.30.0
tinythread,pkg:generic/tinythread@1.1
clockutils,pkg:generic/clockutils@1.1.1
libpmemobj-cpp,pkg:generic/libpmemobj-cpp
eipscanner,pkg:generic/eipscanner@1.3.0
qtpositioning,pkg:generic/qtpositioning@6.8.2
promise-cpp,pkg:generic/promise-cpp@2.1.2
luabridge3,pkg:generic/luabridge3@3.0-rc3
rtabmap,pkg:generic/rtabmap@0.21.4.1
ttauri,pkg:generic/ttauri@0.5.0
trompeloeil,pkg:generic/trompeloeil@48
chromaprint,pkg:generic/chromaprint@1.5.1
jigson,pkg:generic/jigson@0.1.3
libb2,pkg:generic/libb2@0.98.1
qt5-graphicaleffects,pkg:generic/qt5-graphicaleffects@5.15.16
kaitai-struct-cpp-stl-runtime,pkg:generic/kaitai-struct-cpp-stl-runtime@0.10.1
bfgroup-lyra,pkg:generic/bfgroup-lyra@1.6.1
llnl-units,pkg:generic/llnl-units@0.9.1
kf5widgetsaddons,pkg:generic/kf5widgetsaddons@5.98.0
luafilesystem,pkg:generic/luafilesystem@1.8.0
adios2,pkg:generic/adios2@2.9.2
tgbot-cpp,pkg:generic/tgbot-cpp@1.7.3
keccak-tiny,pkg:generic/keccak-tiny
boost-accumulators,pkg:generic/boost-accumulators@1.87.0
ctstraffic,pkg:generic/ctstraffic@2.0.3.2
wg21-linear-algebra,pkg:generic/wg21-linear-algebra@0.7.3
hayai,pkg:generic/hayai
pprint,pkg:generic/pprint
serdepp,pkg:generic/serdepp@0.1.4.1
realsense2,pkg:generic/realsense2@2.56.2
